GUID,ISIN,TRA_TYPE,EXECUTION_PRICE,ORDER_TIMESTAMP,EXECUTION_TIMESTAMP,STOCK_EXCHANGE,INSTR_CCY,SET_CURRENCY,TRADE_CCY,INSTR_CLASS,INSTR_SUB_CLASS,INSTR_DESC,Source,Symbol
34A3F626,FR0000121014,SELL,641.7056,2021-09-01 11:24:57.000,2021-09-01 16:35:10.000,XPAR,EUR,EUR,,SWAP,CFD_OLD,LVMH Moet Hennessy Louis Vuitton -CFD,787,E:MC
98FCBE7C,US92552V1008,SELL,51.7413,2021-08-31 17:01:00.000,2021-08-31 20:59:55.000,XNGS,USD,USD,,EQTY,ORD,ViaSat,564,VSAT
382618BF,US88160R1014,BUY,707.6398,2021-08-24 16:56:55.000,2021-08-24 20:59:57.000,XNGS,USD,USD,,SWAP,CFD_OLD,Tesla -CFD,564,TSLA
A8E9C5DE,FR0000120107,BUY,70,2021-08-23 08:11:45.000,2021-08-24 13:46:46.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
4378C120,FR0000120107,BUY,70,2021-08-20 07:38:15.000,2021-08-20 15:59:52.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
21A3F399,US2253101016,BUY,571.9602,2021-08-19 12:02:52.000,2021-08-19 20:56:59.000,XNGS,USD,USD,,SWAP,CFD_OLD,Credit Acceptance -CFD,564,CACC
E0EDE537,FR0000120107,BUY,69.6,2021-08-19 08:09:13.000,2021-08-19 14:55:43.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
A08016B3,US92552V1008,SELL,52.3507,2021-08-18 14:48:17.000,2021-08-27 20:59:51.000,XNGS,USD,USD,,EQTY,ORD,ViaSat,564,VSAT
391AD5BC,US2253101016,BUY,579.3039,2021-08-18 14:45:51.000,2021-08-18 20:26:36.000,XNGS,USD,USD,,SWAP,CFD_OLD,Credit Acceptance -CFD,564,CACC
4DBF5443,FR0000120107,BUY,69.9037,2021-08-18 07:47:01.000,2021-08-18 10:33:41.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
7E254104,US92552V1008,SELL,52.12,2021-08-17 15:24:04.000,2021-08-17 15:55:50.000,XNGS,USD,USD,,EQTY,ORD,ViaSat,564,VSAT
CB4A699B,US92552V1008,SELL,52.2147,2021-08-17 12:42:19.000,2021-08-17 15:55:50.000,XNGS,USD,USD,,EQTY,ORD,ViaSat,564,VSAT
8B7FEF12,US2253101016,BUY,575.9337,2021-08-17 11:58:27.000,2021-08-17 20:40:51.000,XNGS,USD,USD,,SWAP,CFD_OLD,Credit Acceptance -CFD,564,CACC
D4448FF9,FR0000120107,BUY,70.2088,2021-08-17 08:02:20.000,2021-08-17 16:37:18.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
D08F4F3E,FR0000120107,BUY,71.2348,2021-08-16 09:11:34.000,2021-08-16 16:35:10.000,XPAR,EUR,EUR,,EQTY,ORD,Savencia,787,E:SAVE
3806D3BF,US88160R1014,BUY,648.144,2021-07-28 15:04:55.000,2021-07-28 15:06:25.000,XNGS,USD,USD,,SWAP,CFD_OLD,Tesla -CFD,564,TSLA
